subjects,assistance,metabolic rate,
subject05,noload unassist,6.610700818660864
subject07,noload unassist,6.098532650280767
subject09,noload unassist,6.360755993225905
subject10,noload unassist,6.6193987265944
subject11,noload unassist,6.614765404326622
subject12,noload unassist,6.726518469144909
subject14,noload unassist,7.070107851635985
subject05,loaded unassist,8.241560541453884
subject07,loaded unassist,7.9425367950369745
subject09,loaded unassist,8.424511681353659
subject10,loaded unassist,9.54634162666123
subject11,loaded unassist,8.777825762447906
subject12,loaded unassist,8.063606778853082
subject14,loaded unassist,9.495491837564034
subject05,loaded biarticular,7.1394803169960115
subject07,loaded biarticular,6.993326467395083
subject09,loaded biarticular,7.37664909587991
subject10,loaded biarticular,7.455517121510798
subject11,loaded biarticular,7.397222516626932
subject12,loaded biarticular,7.032393274931009
subject14,loaded biarticular,7.519325993266722
subject05,noload biarticular,5.68978350334623
subject07,noload biarticular,5.327466942291053
subject09,noload biarticular,5.563400402696462
subject10,noload biarticular,5.166411398070546
subject11,noload biarticular,5.3640867042411
subject12,noload biarticular,5.37126446297362
subject14,noload biarticular,5.174536046717401
