subjects,load condition,device type,actuator type,max power 01,max power 02,max power 03,
subject05,loaded,biarticular,hip actuator,2.418777643867295,2.48044340647514,2.6022792539357815
subject07,loaded,biarticular,hip actuator,2.5771210503193993,2.7631780353020288,2.8465356910231985
subject09,loaded,biarticular,hip actuator,2.8066047232451092,2.8122426858457996,2.86893727433832
subject10,loaded,biarticular,hip actuator,4.476704665000781,nan,4.331245275339685
subject11,loaded,biarticular,hip actuator,3.218180448506936,3.300489062191395,3.2704812459440387
subject12,loaded,biarticular,hip actuator,3.8915563963360142,3.8728609209115277,3.713679431337504
subject14,loaded,biarticular,hip actuator,2.815666008712257,2.43461007339778,3.164906619644349
subject05,loaded,biarticular,knee actuator,3.133723861246998,2.7643954777194693,2.993402425331317
subject07,loaded,biarticular,knee actuator,2.9189316278157573,3.0683315174268744,3.0948377777653255
subject09,loaded,biarticular,knee actuator,2.480347416570771,2.4002852894131186,2.7594169955120824
subject10,loaded,biarticular,knee actuator,4.296708530844916,nan,3.798302199281587
subject11,loaded,biarticular,knee actuator,3.968325757112626,3.576497812485304,3.712418612743945
subject12,loaded,biarticular,knee actuator,2.653044461126005,2.277280111408996,2.56699873339291
subject14,loaded,biarticular,knee actuator,4.428674338226518,3.8536663654374026,4.476133704976728
subject05,loaded,monoarticular,hip actuator,2.436641181446233,2.0635067587832427,2.022222067864449
subject07,loaded,monoarticular,hip actuator,2.651366989801636,2.1832195186596435,2.286401767006612
subject09,loaded,monoarticular,hip actuator,2.0832981706559264,2.44979999113924,2.480665968009206
subject10,loaded,monoarticular,hip actuator,3.4258681307199748,3.4602816893643604,3.5206642683117293
subject11,loaded,monoarticular,hip actuator,3.0943826933928986,2.856619962144369,3.017396878321185
subject12,loaded,monoarticular,hip actuator,2.794152875930891,2.594842149836163,2.4210520326184093
subject14,loaded,monoarticular,hip actuator,2.743225431674424,2.4732255802601744,3.0598728567848186
subject05,loaded,monoarticular,knee actuator,2.612590598327848,2.4187340543449256,2.6384610217023923
subject07,loaded,monoarticular,knee actuator,2.800511986327468,2.3413497805670738,2.656676036534798
subject09,loaded,monoarticular,knee actuator,2.7120893542002302,2.7334502850402758,2.7432948495972376
subject10,loaded,monoarticular,knee actuator,4.469612380446666,3.5555935855067933,3.8635515060128065
subject11,loaded,monoarticular,knee actuator,3.4367901705854687,3.422726531154479,3.1073139115918176
subject12,loaded,monoarticular,knee actuator,3.2160675926422395,3.01899772326482,3.2210952910336608
subject14,loaded,monoarticular,knee actuator,4.08749787814775,3.8515047333810717,4.034537985917174
subject05,noload,biarticular,hip actuator,2.6204218275371343,2.5436634096771327,2.5342571801120695
subject07,noload,biarticular,hip actuator,3.401419248234898,3.1496266544884004,3.322947036086518
subject09,noload,biarticular,hip actuator,2.6885675136939007,2.9875959311852704,2.7060807915995397
subject10,noload,biarticular,hip actuator,4.670468221146338,4.7610453086053415,4.866153305637982
subject11,noload,biarticular,hip actuator,3.3228468310604278,3.08095569833059,2.8730309652010346
subject12,noload,biarticular,hip actuator,4.763558580131069,5.0835215221924335,4.89718201012809
subject14,noload,biarticular,hip actuator,3.2705835349087002,3.5304792902494326,3.1729338965270317
subject05,noload,biarticular,knee actuator,2.9158168609801653,3.0903940209018943,2.968710029440541
subject07,noload,biarticular,knee actuator,2.405897613807016,2.668156057940154,2.679381614479435
subject09,noload,biarticular,knee actuator,2.787118430724971,2.3162521606444186,2.442072130840046
subject10,noload,biarticular,knee actuator,3.360606276745276,3.2724646931126036,3.6552555081992817
subject11,noload,biarticular,knee actuator,2.759571607218434,3.0648284898894897,2.9734155888784386
subject12,noload,biarticular,knee actuator,3.267040378611856,3.3670289110813227,3.300109348674411
subject14,noload,biarticular,knee actuator,3.7836026017424507,3.7665663589927196,3.692740230337749
subject05,noload,monoarticular,hip actuator,1.6932645152539356,1.916057226274126,1.7307962131103798
subject07,noload,monoarticular,hip actuator,2.3082706470917853,2.2879235879188613,2.0992022453210804
subject09,noload,monoarticular,hip actuator,1.9513127752589183,1.8867411522439583,1.856667777675489
subject10,noload,monoarticular,hip actuator,2.6389608394502577,2.627584581602374,2.721988918007184
subject11,noload,monoarticular,hip actuator,2.192422082765107,1.9016507572301902,2.016240599694333
subject12,noload,monoarticular,hip actuator,2.547038176794757,2.7062042298182902,2.5769670156389632
subject14,noload,monoarticular,hip actuator,2.989600794605561,2.6468346133190113,2.864251692087361
subject05,noload,monoarticular,knee actuator,3.6471800756025967,2.9987218760117402,3.4888726381748643
subject07,noload,monoarticular,knee actuator,3.1938998436624453,3.287309610220778,3.3329701561134146
subject09,noload,monoarticular,knee actuator,2.913099911622554,3.173742353624856,2.9042475134637513
subject10,noload,monoarticular,knee actuator,4.752396815555208,4.289538844291738,4.859268723567078
subject11,noload,monoarticular,knee actuator,3.5625699553256527,3.794852294498001,3.809140741829297
subject12,noload,monoarticular,knee actuator,5.777388001638367,4.452966199731904,5.590215741286864
subject14,noload,monoarticular,knee actuator,4.511539788280223,4.587712327007996,4.429885385010143
