subjects,assistance,metabolic rate,
subject05,unassist,8.241560541453884
subject07,unassist,7.9425367950369745
subject09,unassist,8.424511681353659
subject10,unassist,9.54634162666123
subject11,unassist,8.777825762447906
subject12,unassist,8.063606778853082
subject14,unassist,9.495491837564034
subject05,monoarticular,6.808482876858416
subject07,monoarticular,6.557598145752217
subject09,monoarticular,6.93617654763657
subject10,monoarticular,7.645395073511888
subject11,monoarticular,6.864652386956066
subject12,monoarticular,6.8093069969788145
subject14,monoarticular,7.372330917529614
subject05,biarticular,6.849910793611656
subject07,biarticular,6.603539679154026
subject09,biarticular,7.014794474132306
subject10,biarticular,7.57549593748793
subject11,biarticular,7.005334521565062
subject12,biarticular,6.873820262865983
subject14,biarticular,7.224702265127459
